Time,Temperature,DewPoint,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip\.,Condition
12:00 AM,75,73,94,VAR,1,0,29.83,0.0,Fair
1:00 AM,75,73,94,WSW,3,0,29.80,0.0,Fair
2:00 AM,75,73,94,WSW,3,0,29.80,0.0,Fair
3:00 AM,75,73,94,WSW,2,0,29.80,0.0,Fair
4:00 AM,75,73,94,SSW,3,0,29.80,0.0,Fair
5:00 AM,75,73,94,,0,0,29.80,0.0,Fair
6:00 AM,75,73,94,CALM,0,0,29.80,0.0,Fair
7:00 AM,73,72,94,VAR,2,0,29.80,0.0,Mostly Cloudy
8:00 AM,77,73,89,VAR,1,0,29.83,0.0,Thunder
9:00 AM,84,81,89,VAR,2,0,29.86,0.0,Fair
10:00 AM,84,75,74,W,7,0,29.86,0.0,Mostly Cloudy
11:00 AM,86,77,74,W,5,0,29.83,0.0,Fair
12:00 PM,86,77,74,NNW,7,0,29.83,0.0,Fair
1:00 PM,84,77,79,WNW,6,0,29.80,0.0,Mostly Cloudy
2:00 PM,82,77,84,W,7,0,29.77,0.0,Mostly Cloudy
3:00 PM,82,77,84,W,7,0,29.74,0.0,Mostly Cloudy
4:00 PM,81,79,94,SW,7,0,29.74,0.0,Mostly Cloudy
5:00 PM,82,79,89,WSW,5,0,29.74,0.0,Partly Cloudy
6:00 PM,81,79,94,WSW,3,0,29.74,0.0,Fair
7:00 PM,79,75,89,W,3,0,29.74,0.0,Fair
8:00 PM,79,75,89,WSW,3,0,29.74,0.0,Fair
9:00 PM,79,75,89,W,5,0,29.77,0.0,Fair
11:00 PM,77,75,94,WSW,3,0,29.80,0.0,Fair
12:00 AM,77,75,94,CALM,0,0,29.77,0.0,Fair
1:00 AM,77,75,94,VAR,1,0,29.77,0.0,Fair
2:00 AM,75,72,89,WSW,3,0,29.74,0.0,Fair
3:00 AM,75,72,89,SSW,2,0,29.74,0.0,Fair
4:00 AM,75,72,89,CALM,0,0,29.74,0.0,Fair
6:00 AM,73,70,88,W,2,0,29.77,0.0,Fair
7:00 AM,73,70,88,WSW,3,0,29.77,0.0,Fair
8:00 AM,75,72,89,SW,2,0,29.80,0.0,Fair
10:00 AM,86,79,79,NE,3,0,29.80,0.0,Fair
11:00 AM,86,81,84,NW,3,0,29.80,0.0,Partly Cloudy
1:00 PM,88,77,70,N,6,0,29.74,0.0,Fair
12:00 PM,86,79,79,N,3,0,29.77,0.0,Partly Cloudy
2:00 PM,90,75,62,N,5,0,29.71,0.0,Fair
3:00 PM,88,77,70,NNW,5,0,29.69,0.0,Fair
5:00 PM,84,77,79,W,6,0,29.69,0.0,Fair
4:00 PM,86,79,79,W,6,0,29.69,0.0,Fair
8:00 PM,79,75,89,WSW,5,0,29.71,0.0,Fair
7:00 PM,0,0,0,,0,0,0.00,0.0,Fair
9:00 PM,79,75,89,WSW,3,0,29.74,0.0,Fair
10:00 PM,77,73,89,SW,5,0,29.74,0.0,Fair
11:00 PM,75,73,94,VAR,1,0,29.74,0.0,Fair
12:00 AM,77,75,94,CALM,0,0,29.77,0.0,Fair
1:00 AM,77,75,94,VAR,1,0,29.77,0.0,Fair
2:00 AM,75,72,89,WSW,3,0,29.74,0.0,Fair
3:00 AM,75,72,89,SSW,2,0,29.74,0.0,Fair
4:00 AM,75,72,89,CALM,0,0,29.74,0.0,Fair
6:00 AM,73,70,88,W,2,0,29.77,0.0,Fair
7:00 AM,73,70,88,WSW,3,0,29.77,0.0,Fair
8:00 AM,75,72,89,SW,2,0,29.80,0.0,Fair
10:00 AM,86,79,79,NE,3,0,29.80,0.0,Fair
11:00 AM,86,81,84,NW,3,0,29.80,0.0,Partly Cloudy
12:00 PM,86,79,79,N,3,0,29.77,0.0,Partly Cloudy
1:00 PM,88,77,70,N,6,0,29.74,0.0,Fair
2:00 PM,90,75,62,N,5,0,29.71,0.0,Fair
3:00 PM,88,77,70,NNW,5,0,29.69,0.0,Fair
